"gene","proteinSearched","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblID","EntrezID"
"CNR1","cannabidiol","This gene encodes one of two cannabinoid receptors. The cannabinoids, principally delta-9-tetrahydrocannabinol and synthetic analogs, are psychoactive ingredients of marijuana. The cannabinoid receptors are members of the guanine-nucleotide-binding protein (G-protein) coupled receptor family, which inhibit adenylate cyclase activity in a dose-dependent, stereoselective and pertussis toxin-sensitive manner. The two receptors have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. Multiple transcript variants encoding two different protein isoforms have been described for this gene. [provided by RefSeq, May 2009]","                                            CNR1 (Cannabinoid Receptor 1) is a Protein Coding gene.                                            Diseases associated with CNR1 include Cannabis Dependence and Anxiety.                                            Among its related pathways are Neuroscience and GABAergic synapse.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and cannabinoid receptor activity.                                            An important paralog of this gene is CNR2.","G-protein coupled receptor for endogenous cannabinoids (eCBs), including N-arachidonoylethanolamide (also called anandamide or AEA) and 2-arachidonoylglycerol (2-AG), as well as phytocannabinoids, such as delta(9)-tetrahydrocannabinol (THC) (PubMed:15620723, PubMed:27768894, PubMed:27851727). Mediates many cannabinoid-induced effects, acting, among others, on food intake, memory loss, gastrointestinal motility, catalepsy, ambulatory activity, anxiety, chronic pain. Signaling typically involves reduction in cyclic AMP (PubMed:1718258, PubMed:21895628, PubMed:27768894). In the hypothalamus, may have a dual effect on mitochondrial respiration depending upon the agonist dose and possibly upon the cell type. Increases respiration at low doses, while decreases respiration at high doses. At high doses, CNR1 signal transduction involves G-protein alpha-i protein activation and subsequent inhibition of mitochondrial soluble adenylate cyclase, decrease in cyclic AMP concentration, inhibition of protein kinase A (PKA)-dependent phosphorylation of specific subunits of the mitochondrial electron transport system, including NDUFS2. In the hypothalamus, inhibits leptin-induced reactive oxygen species (ROS) formation and mediates cannabinoid-induced increase in SREBF1 and FASN gene expression. In response to cannabinoids, drives the release of orexigenic beta-endorphin, but not that of melanocyte-stimulating hormone alpha/alpha-MSH, from hypothalamic POMC neurons, hence promoting food intake. In the hippocampus, regulates cellular respiration and energy production in response to cannabinoids. Involved in cannabinoid-dependent depolarization-induced suppression of inhibition (DSI), a process in which depolarization of CA1 postsynaptic pyramidal neurons mobilizes eCBs, which retrogradely activate presynaptic CB1 receptors, transiently decreasing GABAergic inhibitory neurotransmission. Also reduces excitatory synaptic transmission (By similarity). In superior cervical ganglions and cerebral vascular smooth muscle cells, inhibits voltage-gated Ca(2+) channels in a constitutive, as well as agonist-dependent manner (PubMed:17895407). In cerebral vascular smooth muscle cells, cannabinoid-induced inhibition of voltage-gated Ca(2+) channels leads to vasodilation and decreased vascular tone (By similarity). Induces leptin production in adipocytes and reduces LRP2-mediated leptin clearance in the kidney, hence participating in hyperleptinemia. In adipose tissue, CNR1 signaling leads to increased expression of SREBF1, ACACA and FASN genes (By similarity). In the liver, activation by endocannabinoids leads to increased de novo lipogenesis and reduced fatty acid catabolism, associated with increased expression of SREBF1/SREBP-1, GCK, ACACA, ACACB and FASN genes. May also affect de novo cholesterol synthesis and HDL-cholesteryl ether uptake. Peripherally modulates energy metabolism (By similarity). In high carbohydrate diet-induced obesity, may decrease the expression of mitochondrial dihydrolipoyl dehydrogenase/DLD in striated muscles, as well as that of selected glucose/ pyruvate metabolic enzymes, hence affecting energy expenditure through mitochondrial metabolism (By similarity). In response to cannabinoid anandamide, elicits a proinflammatory response in macrophages, which involves NLRP3 inflammasome activation and IL1B and IL18 secretion (By similarity). In macrophages infiltrating pancreatic islets, this process may participate in the progression of type-2 diabetes and associated loss of pancreatic beta-cells (PubMed:23955712).
                         CNR1_HUMAN,P21554
                         ","ENSG00000118432",1268
"CNR2","cannabidiol","The cannabinoid delta-9-tetrahydrocannabinol is the principal psychoactive ingredient of marijuana. The proteins encoded by this gene and the cannabinoid receptor 1 (brain) (CNR1) gene have the characteristics of a guanine nucleotide-binding protein (G-protein)-coupled receptor for cannabinoids. They inhibit adenylate cyclase activity in a dose-dependent, stereoselective, and pertussis toxin-sensitive manner. These proteins have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. The cannabinoid receptors are members of family 1 of the G-protein-coupled receptors. [provided by RefSeq, Jul 2008]","                                            CNR2 (Cannabinoid Receptor 2) is a Protein Coding gene.                                            Diseases associated with CNR2 include Cannabis Abuse and Polyarticular Juvenile Idiopathic Arthritis.                                            Among its related pathways are Signaling by GPCR and Peptide ligand-binding receptors.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and cannabinoid receptor activity.                                            An important paralog of this gene is CNR1.","Heterotrimeric G protein-coupled receptor for endocannabinoid 2-arachidonoylglycerol mediating inhibition of adenylate cyclase. May function in inflammatory response, nociceptive transmission and bone homeostasis.
                         CNR2_HUMAN,P34972
                         ","ENSG00000188822",1269
"COL10A1","hormone","This gene encodes the alpha chain of type X collagen, a short chain collagen expressed by hypertrophic chondrocytes during endochondral ossification. Unlike type VIII collagen, the other short chain collagen, type X collagen is a homotrimer. Mutations in this gene are associated with Schmid type metaphyseal chondrodysplasia (SMCD) and Japanese type spondylometaphyseal dysplasia (SMD). [provided by RefSeq, Jul 2008]","                                            COL10A1 (Collagen Type X Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL10A1 include Metaphyseal Chondrodysplasia, Schmid Type and Cartilage Disease.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                                                                        An important paralog of this gene is COL8A2.","Type X collagen is a product of hypertrophic chondrocytes and has been localized to presumptive mineralization zones of hyaline cartilage.
                         COAA1_HUMAN,Q03692
                         ","ENSG00000123500",1300
"COL11A1","hormone","This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Mutations in this gene are associated with type II Stickler syndrome and with Marshall syndrome. A single-nucleotide polymorphism in this gene is also associated with susceptibility to lumbar disc herniation. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009]","                                            COL11A1 (Collagen Type XI Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL11A1 include Stickler Syndrome, Type Ii and Marshall Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix binding.                                            An important paralog of this gene is COL5A1.","May play an important role in fibrillogenesis by controlling lateral growth of collagen II fibrils.
                         COBA1_HUMAN,P12107
                         ","ENSG00000060718",1301
"COL11A2","hormone","This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. It is located on chromosome 6 very close to but separate from the gene for retinoid X receptor beta. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Proteolytic processing of this type XI chain produces PARP, a proline/arginine-rich protein that is an amino terminal domain. Mutations in this gene are associated with type III Stickler syndrome, otospondylomegaepiphyseal dysplasia (OSMED syndrome), Weissenbacher-Zweymuller syndrome, autosomal dominant non-syndromic sensorineural type 13 deafness (DFNA13), and autosomal recessive non-syndromic sensorineural type 53 deafness (DFNB53). Alternative splicing results in multiple transcript variants. A related pseudogene is located nearby on chromosome 6. [provided by RefSeq, Jul 2009]","                                            COL11A2 (Collagen Type XI Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL11A2 include Otospondylomegaepiphyseal Dysplasia, Autosomal Recessive and Otospondylomegaepiphyseal Dysplasia, Autosomal Dominant.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix structural constituent conferring tensile strength.                                            An important paralog of this gene is COL5A1.","May play an important role in fibrillogenesis by controlling lateral growth of collagen II fibrils.
                         COBA2_HUMAN,P13942
                         ","ENSG00000204248",1302
"COL12A1","hormone","This gene encodes the alpha chain of type XII collagen, a member of the FACIT (fibril-associated collagens with interrupted triple helices) collagen family. Type XII collagen is a homotrimer found in association with type I collagen, an association that is thought to modify the interactions between collagen I fibrils and the surrounding matrix. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            COL12A1 (Collagen Type XII Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL12A1 include Bethlem Myopathy 2 and Ullrich Congenital Muscular Dystrophy 2.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent conferring tensile strength.                                            An important paralog of this gene is COL14A1.","Type XII collagen interacts with type I collagen-containing fibrils, the COL1 domain could be associated with the surface of the fibrils, and the COL2 and NC3 domains may be localized in the perifibrillar matrix.
                         COCA1_HUMAN,Q99715
                         ","ENSG00000111799",1303
"COL1A1","col4a5","This gene encodes the pro-alpha1 chains of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIA, Ehlers-Danlos syndrome Classical type, Caffey Disease and idiopathic osteoporosis. Reciprocal translocations between chromosomes 17 and 22, where this gene and the gene for platelet-derived growth factor beta are located, are associated with a particular type of skin tumor called dermatofibrosarcoma protuberans, resulting from unregulated expression of the growth factor. Two transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A1 (Collagen Type I Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A1 include Caffey Disease and Osteogenesis Imperfecta, Type I.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and platelet-derived growth factor binding.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A1_HUMAN,P02452
                         ","ENSG00000108821",1277
"COL1A1","hormone","This gene encodes the pro-alpha1 chains of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIA, Ehlers-Danlos syndrome Classical type, Caffey Disease and idiopathic osteoporosis. Reciprocal translocations between chromosomes 17 and 22, where this gene and the gene for platelet-derived growth factor beta are located, are associated with a particular type of skin tumor called dermatofibrosarcoma protuberans, resulting from unregulated expression of the growth factor. Two transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A1 (Collagen Type I Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A1 include Caffey Disease and Osteogenesis Imperfecta, Type I.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and platelet-derived growth factor binding.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A1_HUMAN,P02452
                         ","ENSG00000108821",1277
"COL1A2","hormone","This gene encodes the pro-alpha2 chain of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIB, recessive Ehlers-Danlos syndrome Classical type, idiopathic osteoporosis, and atypical Marfan syndrome. Symptoms associated with mutations in this gene, however, tend to be less severe than mutations in the gene for the alpha1 chain of type I collagen (COL1A1) reflecting the different role of alpha2 chains in matrix integrity. Three transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A2 (Collagen Type I Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A2 include Osteogenesis Imperfecta, Type Iii and Osteogenesis Imperfecta, Type Iv.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein binding, bridging.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A2_HUMAN,P08123
                         ","ENSG00000164692",1278
"COL1A2","col4a5","This gene encodes the pro-alpha2 chain of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIB, recessive Ehlers-Danlos syndrome Classical type, idiopathic osteoporosis, and atypical Marfan syndrome. Symptoms associated with mutations in this gene, however, tend to be less severe than mutations in the gene for the alpha1 chain of type I collagen (COL1A1) reflecting the different role of alpha2 chains in matrix integrity. Three transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A2 (Collagen Type I Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A2 include Osteogenesis Imperfecta, Type Iii and Osteogenesis Imperfecta, Type Iv.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein binding, bridging.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A2_HUMAN,P08123
                         ","ENSG00000164692",1278
"COL2A1","hormone","This gene encodes the alpha-1 chain of type II collagen, a fibrillar collagen found in cartilage and the vitreous humor of the eye. Mutations in this gene are associated with achondrogenesis, chondrodysplasia, early onset familial osteoarthritis, SED congenita, Langer-Saldino achondrogenesis, Kniest dysplasia, Stickler syndrome type I, and spondyloepimetaphyseal dysplasia Strudwick type. In addition, defects in processing chondrocalcin, a calcium binding protein that is the C-propeptide of this collagen molecule, are also associated with chondrodysplasia. There are two transcripts identified for this gene. [provided by RefSeq, Jul 2008]","                                            COL2A1 (Collagen Type II Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL2A1 include Kniest Dysplasia and Spondyloepimetaphyseal Dysplasia, Strudwick Type.                                            Among its related pathways are Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway and Integrin Pathway.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and platelet-derived growth factor binding.                                            An important paralog of this gene is COL1A1.","Type II collagen is specific for cartilaginous tissues. It is essential for the normal embryonic development of the skeleton, for linear growth and for the ability of cartilage to resist compressive forces.
                         CO2A1_HUMAN,P02458
                         ","ENSG00000139219",1280
"COL3A1","hormone","This gene encodes the pro-alpha1 chains of type III collagen, a fibrillar collagen that is found in extensible connective tissues such as skin, lung, uterus, intestine and the vascular system, frequently in association with type I collagen. Mutations in this gene are associated with Ehlers-Danlos syndrome types IV, and with aortic and arterial aneurysms. Two transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL3A1 (Collagen Type III Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL3A1 include Ehlers-Danlos Syndrome, Vascular Type and Polymicrogyria With Or Without Vascular-Type Ehlers-Danlos Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include integrin binding and SMAD binding.                                            An important paralog of this gene is COL1A1.","Collagen type III occurs in most soft connective tissues along with type I collagen. Involved in regulation of cortical development. Is the major ligand of ADGRG1 in the developing brain and binding to ADGRG1 inhibits neuronal migration and activates the RhoA pathway by coupling ADGRG1 to GNA13 and possibly GNA12.
                         CO3A1_HUMAN,P02461
                         ","ENSG00000168542",1281
"COL4A1","hormone","This gene encodes a type IV collagen alpha protein. Type IV collagen proteins are integral components of basement membranes. This gene shares a bidirectional promoter with a paralogous gene on the opposite strand. The protein consists of an amino-terminal 7S domain, a triple-helix forming collagenous domain, and a carboxy-terminal non-collagenous domain. It functions as part of a heterotrimer and interacts with other extracellular matrix components such as perlecans, proteoglycans, and laminins. In addition, proteolytic cleavage of the non-collagenous carboxy-terminal domain results in a biologically active fragment known as arresten, which has anti-angiogenic and tumor suppressor properties. Mutations in this gene cause porencephaly, cerebrovascular disease, and renal and muscular defects. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            COL4A1 (Collagen Type IV Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A1 include Retinal Arteries, Tortuosity Of and Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix constituent conferring elasticity.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A1_HUMAN,P02462
                         ","ENSG00000187498",1282
"COL4A1","col4a6","This gene encodes a type IV collagen alpha protein. Type IV collagen proteins are integral components of basement membranes. This gene shares a bidirectional promoter with a paralogous gene on the opposite strand. The protein consists of an amino-terminal 7S domain, a triple-helix forming collagenous domain, and a carboxy-terminal non-collagenous domain. It functions as part of a heterotrimer and interacts with other extracellular matrix components such as perlecans, proteoglycans, and laminins. In addition, proteolytic cleavage of the non-collagenous carboxy-terminal domain results in a biologically active fragment known as arresten, which has anti-angiogenic and tumor suppressor properties. Mutations in this gene cause porencephaly, cerebrovascular disease, and renal and muscular defects. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            COL4A1 (Collagen Type IV Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A1 include Retinal Arteries, Tortuosity Of and Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix constituent conferring elasticity.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A1_HUMAN,P02462
                         ","ENSG00000187498",1282
"COL4A1","col4a5","This gene encodes a type IV collagen alpha protein. Type IV collagen proteins are integral components of basement membranes. This gene shares a bidirectional promoter with a paralogous gene on the opposite strand. The protein consists of an amino-terminal 7S domain, a triple-helix forming collagenous domain, and a carboxy-terminal non-collagenous domain. It functions as part of a heterotrimer and interacts with other extracellular matrix components such as perlecans, proteoglycans, and laminins. In addition, proteolytic cleavage of the non-collagenous carboxy-terminal domain results in a biologically active fragment known as arresten, which has anti-angiogenic and tumor suppressor properties. Mutations in this gene cause porencephaly, cerebrovascular disease, and renal and muscular defects. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            COL4A1 (Collagen Type IV Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A1 include Retinal Arteries, Tortuosity Of and Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix constituent conferring elasticity.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A1_HUMAN,P02462
                         ","ENSG00000187498",1282
"COL4A2","hormone","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. The C-terminal portion of the protein, known as canstatin, is an inhibitor of angiogenesis and tumor growth. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jul 2008]","                                            COL4A2 (Collagen Type IV Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A2 include Brain Small Vessel Disease 2 and Hemorrhage, Intracerebral.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A6.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A2_HUMAN,P08572
                         ","ENSG00000134871",1284
"COL4A2","col4a6","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. The C-terminal portion of the protein, known as canstatin, is an inhibitor of angiogenesis and tumor growth. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jul 2008]","                                            COL4A2 (Collagen Type IV Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A2 include Brain Small Vessel Disease 2 and Hemorrhage, Intracerebral.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A6.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A2_HUMAN,P08572
                         ","ENSG00000134871",1284
"COL4A2","col4a5","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. The C-terminal portion of the protein, known as canstatin, is an inhibitor of angiogenesis and tumor growth. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jul 2008]","                                            COL4A2 (Collagen Type IV Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A2 include Brain Small Vessel Disease 2 and Hemorrhage, Intracerebral.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A6.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A2_HUMAN,P08572
                         ","ENSG00000134871",1284
"COL4A3","col4a6","Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]","                                            COL4A3 (Collagen Type IV Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A3 include Alport Syndrome 3, Autosomal Dominant and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A3_HUMAN,Q01955
                         ","ENSG00000169031",1285
"COL4A3","hormone","Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]","                                            COL4A3 (Collagen Type IV Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A3 include Alport Syndrome 3, Autosomal Dominant and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A3_HUMAN,Q01955
                         ","ENSG00000169031",1285
"COL4A3","col4a5","Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]","                                            COL4A3 (Collagen Type IV Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A3 include Alport Syndrome 3, Autosomal Dominant and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A3_HUMAN,Q01955
                         ","ENSG00000169031",1285
"COL4A4","col4a5","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. This particular collagen IV subunit, however, is only found in a subset of basement membranes. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. Mutations in this gene are associated with type II autosomal recessive Alport syndrome (hereditary glomerulonephropathy) and with familial benign hematuria (thin basement membrane disease). Two transcripts, differing only in their transcription start sites, have been identified for this gene and, as is common for collagen genes, multiple polyadenylation sites are found in the 3' UTR. [provided by RefSeq, Jul 2008]","                                            COL4A4 (Collagen Type IV Alpha 4 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A4 include Hematuria, Benign Familial and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A6.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A4_HUMAN,P53420
                         ","ENSG00000081052",1286
